This is HeaderINFO  2012-07-05 09:31:54,559 24714ms StudyConfigViewModel   InitialData        - || {*} === InitialData ===
INFO  2012-07-05 09:31:57,223 27378ms StudyConfigViewModel   OnOKExecute        - || {*} === OK Command Executed ===
INFO  2012-07-05 09:31:57,475 27630ms MainViewModel          Initialize         - || {*} === Initialize MainViewModel ===
DEBUG 2012-07-05 09:32:22,725 52880ms MainViewModel          _timer_Tick        - || =============Summary=============
DEBUG 2012-07-05 09:32:22,757 52912ms MainViewModel          _timer_Tick        - || == Timer tick : True
DEBUG 2012-07-05 09:32:22,757 52912ms MainViewModel          _timer_Tick        - || == TimerPopup.Interval :00:00:25
DEBUG 2012-07-05 09:32:22,757 52912ms MainViewModel          _timer_Tick        - || == TimeOut :25
DEBUG 2012-07-05 09:32:22,757 52912ms MainViewModel          SetLesson          - || == Current Item : 1/93
DEBUG 2012-07-05 09:32:23,387 53542ms MainViewModel          <_timer_Tick>b__1  - || =================================

DEBUG 2012-07-05 09:32:23,387 53542ms MainViewModel          <_timer_Tick>b__1  - || ==> Is Popup Showing
INFO  2012-07-05 09:32:38,519 68674ms MainViewModel          _waitForClose_Tick - || {*} === Initial Timer For Close Popup === 
INFO  2012-07-05 09:32:38,519 68674ms MainViewModel          _waitForClose_Tick - || ==> WaitBalloon() methods started 
DEBUG 2012-07-05 09:32:38,519 68674ms MainViewModel          <WaitBalloon>b__3  - || == View Timer :14
DEBUG 2012-07-05 09:32:38,534 68689ms MainViewModel          <WaitBalloon>b__3  - || ==> Popup Closed.......
DEBUG 2012-07-05 09:32:38,534 68689ms MainViewModel          <WaitBalloon>b__3  - || ================================= 

DEBUG 2012-07-05 09:32:47,976 78131ms MainViewModel          _timer_Tick        - || =============Summary=============
DEBUG 2012-07-05 09:32:47,976 78131ms MainViewModel          _timer_Tick        - || == Timer tick : True
DEBUG 2012-07-05 09:32:47,976 78131ms MainViewModel          _timer_Tick        - || == TimerPopup.Interval :00:00:25
DEBUG 2012-07-05 09:32:47,976 78131ms MainViewModel          _timer_Tick        - || == TimeOut :25
DEBUG 2012-07-05 09:32:47,976 78131ms MainViewModel          SetLesson          - || == Current Item : 2/93
DEBUG 2012-07-05 09:32:48,055 78210ms MainViewModel          <_timer_Tick>b__1  - || =================================

DEBUG 2012-07-05 09:32:48,055 78210ms MainViewModel          <_timer_Tick>b__1  - || ==> Is Popup Showing
INFO  2012-07-05 09:33:03,176 93331ms MainViewModel          _waitForClose_Tick - || {*} === Initial Timer For Close Popup === 
INFO  2012-07-05 09:33:03,176 93331ms MainViewModel          _waitForClose_Tick - || ==> WaitBalloon() methods started 
DEBUG 2012-07-05 09:33:03,176 93331ms MainViewModel          <WaitBalloon>b__3  - || == View Timer :14
DEBUG 2012-07-05 09:33:03,176 93331ms MainViewModel          <WaitBalloon>b__3  - || ==> Popup Closed.......
DEBUG 2012-07-05 09:33:03,176 93331ms MainViewModel          <WaitBalloon>b__3  - || ================================= 

DEBUG 2012-07-05 09:33:13,129 103284ms MainViewModel          _timer_Tick        - || =============Summary=============
DEBUG 2012-07-05 09:33:13,129 103284ms MainViewModel          _timer_Tick        - || == Timer tick : True
